iter	Passed	Remaining
629	974	572
630	975	570
631	977	568
632	978	567
633	979	565
634	980	563
635	981	561
636	983	560
637	984	558
638	985	556
639	986	554
640	987	553
641	988	551
642	990	549
643	991	548
644	992	546
645	993	544
646	995	542
647	996	541
648	997	539
649	998	537
650	999	535
651	1001	534
652	1002	532
653	1003	530
654	1004	529
655	1005	527
656	1006	525
657	1008	524
658	1009	522
659	1010	520
660	1011	518
661	1012	517
662	1014	515
663	1015	513
664	1016	512
665	1017	510
666	1018	508
667	1020	506
668	1021	505
669	1022	503
670	1023	501
671	1024	500
672	1026	498
673	1027	496
674	1028	495
675	1029	493
676	1030	491
677	1031	490
678	1033	488
679	1034	486
680	1035	485
681	1037	483
682	1038	481
683	1039	480
684	1040	478
685	1041	476
686	1043	475
687	1044	473
688	1045	471
689	1046	470
690	1047	468
691	1049	466
692	1050	465
693	1051	463
694	1052	461
695	1053	460
696	1054	458
697	1056	456
698	1057	455
699	1058	453
700	1059	452
701	1060	450
702	1062	448
703	1063	447
704	1064	445
705	1065	443
706	1067	442
707	1068	440
708	1069	438
709	1070	437
710	1071	435
711	1072	434
712	1074	432
713	1075	430
714	1076	429
715	1077	427
716	1079	425
717	1080	424
718	1081	422
719	1082	421
720	1084	419
721	1085	417
722	1086	416
723	1087	414
724	1088	413
725	1090	411
726	1091	409
727	1092	408
728	1094	406
729	1095	405
730	1096	403
731	1098	402
732	1099	400
733	1100	398
734	1101	397
735	1103	395
736	1104	394
737	1105	392
738	1107	391
739	1108	389
740	1109	387
741	1110	386
742	1112	384
743	1113	383
744	1114	381
745	1115	379
746	1116	378
747	1117	376
748	1119	375
749	1120	373
750	1121	371
751	1123	370
752	1124	368
753	1125	367
754	1126	365
755	1127	364
756	1129	362
757	1130	360
758	1131	359
759	1132	357
760	1134	356
761	1135	354
762	1136	353
763	1137	351
764	1138	349
765	1140	348
766	1141	346
767	1142	345
768	1143	343
769	1144	341
770	1146	340
771	1147	338
772	1148	337
773	1149	335
774	1150	334
775	1152	332
776	1153	331
777	1154	329
778	1156	327
779	1157	326
780	1158	324
781	1159	323
782	1160	321
783	1161	320
784	1163	318
785	1164	317
786	1165	315
787	1166	313
788	1168	312
789	1169	310
790	1170	309
791	1171	307
792	1172	306
793	1174	304
794	1175	303
795	1176	301
796	1177	300
797	1179	298
798	1180	296
799	1181	295
800	1182	293
801	1183	292
802	1185	290
803	1186	289
804	1187	287
805	1188	286
806	1189	284
807	1191	283
808	1192	281
809	1193	279
810	1194	278
811	1195	276
812	1197	275
813	1198	273
814	1199	272
815	1200	270
816	1202	269
817	1202	267
818	1204	266
819	1206	264
820	1207	263
821	1209	261
822	1210	260
823	1211	258
824	1213	257
825	1214	255
826	1215	254
827	1216	252
828	1217	251
829	1219	249
830	1220	248
831	1221	246
832	1222	245
833	1224	243
834	1225	242
835	1226	240
836	1227	239
837	1229	237
838	1230	236
839	1231	234
840	1232	233
841	1233	231
842	1235	230
843	1236	228
844	1237	226
845	1238	225
846	1239	223
847	1241	222
848	1242	220
849	1243	219
850	1244	217
851	1245	216
852	1246	214
853	1248	213
854	1249	211
855	1250	210
856	1251	208
857	1252	207
858	1254	205
859	1255	204
860	1256	202
861	1257	201
862	1258	199
863	1260	198
864	1261	196
865	1262	195
866	1263	193
867	1265	192
868	1266	190
869	1267	189
870	1268	187
871	1270	186
872	1271	184
873	1272	183
874	1273	181
875	1274	180
876	1276	178
877	1277	177
878	1278	176
879	1279	174
880	1281	173
881	1282	171
882	1283	170
883	1284	168
884	1285	167
885	1287	165
886	1288	164
887	1289	162
888	1290	161
889	1292	159
890	1293	158
891	1294	156
892	1295	155
893	1296	153
894	1298	152
895	1299	150
896	1300	149
897	1301	147
898	1302	146
899	1304	144
900	1305	143
901	1306	141
902	1307	140
903	1309	139
904	1310	137
905	1311	136
906	1312	134
907	1313	133
908	1314	131
909	1316	130
910	1317	128
911	1318	127
912	1319	125
913	1320	124
914	1322	122
915	1323	121
916	1324	119
917	1325	118
918	1326	116
919	1327	115
920	1329	114
921	1330	112
922	1331	111
923	1332	109
924	1334	108
925	1335	106
926	1336	105
927	1337	103
928	1338	102
929	1340	100
930	1341	99
931	1342	97
932	1343	96
933	1344	95
934	1345	93
935	1347	92
936	1348	90
937	1350	89
938	1351	87
939	1352	86
940	1353	84
941	1354	83
942	1355	81
943	1357	80
944	1358	79
945	1359	77
946	1360	76
947	1361	74
948	1362	73
949	1364	71
950	1365	70
951	1366	68
952	1367	67
953	1368	66
954	1370	64
955	1371	63
956	1372	61
957	1373	60
958	1374	58
959	1376	57
960	1377	55
961	1378	54
962	1379	53
963	1381	51
964	1382	50
965	1383	48
966	1384	47
967	1385	45
968	1387	44
969	1388	42
970	1389	41
971	1390	40
972	1391	38
973	1393	37
974	1394	35
975	1395	34
976	1397	32
977	1398	31
978	1399	30
979	1400	28
980	1401	27
981	1403	25
982	1404	24
983	1405	22
984	1406	21
985	1407	19
986	1409	18
987	1410	17
988	1411	15
989	1412	14
990	1413	12
991	1415	11
992	1416	9
993	1417	8
994	1418	7
995	1419	5
996	1421	4
997	1422	2
998	1423	1
999	1424	0
